,Model Name,R2_Score
0,XGBRegressor,0.6606851077195776
1,CatBoosting Regressor,0.5991882660636939
2,Linear Regression,0.5820708309244419
3,Random Forest Regressor,0.5644841295826981
4,K-Neighbors Regressor,0.5354980149578726
5,AdaBoost Regressor,0.5169580253329474
6,Ridge,0.4631020456009553
7,Decision Tree,0.28111324815041544
8,Lasso,0.27673297606011993
