,Model Name,R2_Score
0,XGBRegressor,0.6606851077195776
1,CatBoosting Regressor,0.5991882660636939
2,Random Forest Regressor,0.5889815679766575
3,Linear Regression,0.5820708309244419
4,K-Neighbors Regressor,0.5354980149578726
5,AdaBoost Regressor,0.5275509960097914
6,Ridge,0.4631020456009553
7,Decision Tree,0.3372668954552888
8,Lasso,0.27673297606011993
